Record Length,Analog:14000
Sample Interval,CH:0.0000099999997
Vertical Units,CH1:V,,,
Vertical Scale,CH1:+2.240000E-01,,,
Vertical Offset,CH1:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,10000.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX3R1990,,,
Software Version,8.1.6.1.33,,,
Source,CH1
Second,Volt
+3.300000E-03,-3.584000E-02
+3.310000E-03,-3.584000E-02
+3.320000E-03,-2.688000E-02
+3.330000E-03,-2.688000E-02
+3.340000E-03,-2.688000E-02
+3.350000E-03,-2.688000E-02
+3.360000E-03,-1.792000E-02
+3.370000E-03,-2.688000E-02
+3.380000E-03,-3.584000E-02
+3.390000E-03,-3.584000E-02
+3.400000E-03,-3.584000E-02
+3.410000E-03,-2.688000E-02
+3.420000E-03,-2.688000E-02
+3.430000E-03,-3.584000E-02
+3.440000E-03,-2.688000E-02
+3.450000E-03,-2.688000E-02
+3.460000E-03,-2.688000E-02
+3.470000E-03,-2.688000E-02
+3.480000E-03,-2.688000E-02
+3.490000E-03,-2.688000E-02
+3.500000E-03,-3.584000E-02
+3.510000E-03,-3.584000E-02
+3.520000E-03,-2.688000E-02
+3.530000E-03,-2.688000E-02
+3.540000E-03,-2.688000E-02
+3.550000E-03,-2.688000E-02
+3.560000E-03,-2.688000E-02
+3.570000E-03,-2.688000E-02
+3.580000E-03,-2.688000E-02
+3.590000E-03,-3.584000E-02
+3.600000E-03,-3.584000E-02
+3.610000E-03,-3.584000E-02
+3.620000E-03,-3.584000E-02
+3.630000E-03,-2.688000E-02
+3.640000E-03,-3.584000E-02
+3.650000E-03,-2.688000E-02
+3.660000E-03,-3.584000E-02
+3.670000E-03,-3.584000E-02
+3.680000E-03,-2.688000E-02
+3.690000E-03,-2.688000E-02
+3.700000E-03,-2.688000E-02
+3.710000E-03,-1.792000E-02
+3.720000E-03,-2.688000E-02
+3.730000E-03,-2.688000E-02
+3.740000E-03,-2.688000E-02
+3.750000E-03,-2.688000E-02
+3.760000E-03,-2.688000E-02
+3.770000E-03,-2.688000E-02
+3.780000E-03,-2.688000E-02
+3.790000E-03,-3.584000E-02
+3.800000E-03,-2.688000E-02
+3.810000E-03,-2.688000E-02
+3.820000E-03,-3.584000E-02
+3.830000E-03,-2.688000E-02
+3.840000E-03,-2.688000E-02
+3.850000E-03,-2.688000E-02
+3.860000E-03,-2.688000E-02
+3.870000E-03,-2.688000E-02
+3.880000E-03,-2.688000E-02
+3.890000E-03,-1.792000E-02
+3.900000E-03,-2.688000E-02
+3.910000E-03,-2.688000E-02
+3.920000E-03,-1.792000E-02
+3.930000E-03,-1.792000E-02
+3.940000E-03,-1.792000E-02
+3.950000E-03,-1.792000E-02
+3.960000E-03,-1.792000E-02
+3.970000E-03,-1.792000E-02
+3.980000E-03,-1.792000E-02
+3.990000E-03,-2.688000E-02
+4.000000E-03,-2.688000E-02
+4.010000E-03,-1.792000E-02
+4.020000E-03,-2.688000E-02
+4.030000E-03,-1.792000E-02
+4.040000E-03,-2.688000E-02
+4.050000E-03,-2.688000E-02
+4.060000E-03,-2.688000E-02
+4.070000E-03,-2.688000E-02
+4.080000E-03,-2.688000E-02
+4.090000E-03,-2.688000E-02
+4.100000E-03,-1.792000E-02
+4.110000E-03,-1.792000E-02
+4.120000E-03,-1.792000E-02
+4.130000E-03,-1.792000E-02
+4.140000E-03,-1.792000E-02
+4.150000E-03,-1.792000E-02
+4.160000E-03,-1.792000E-02
+4.170000E-03,-1.792000E-02
+4.180000E-03,-1.792000E-02
+4.190000E-03,-1.792000E-02
+4.200000E-03,-1.792000E-02
+4.210000E-03,-8.960000E-03
+4.220000E-03,-8.960000E-03
+4.230000E-03,-1.792000E-02
+4.240000E-03,-1.792000E-02
+4.250000E-03,-1.792000E-02
+4.260000E-03,-1.792000E-02
+4.270000E-03,-1.792000E-02
+4.280000E-03,-1.792000E-02
+4.290000E-03,-1.792000E-02
+4.300000E-03,-1.792000E-02
+4.310000E-03,-1.792000E-02
+4.320000E-03,-1.792000E-02
+4.330000E-03,-1.792000E-02
+4.340000E-03,-8.960000E-03
+4.350000E-03,+0.000000E+00
+4.360000E-03,-8.960000E-03
+4.370000E-03,-8.960000E-03
+4.380000E-03,-8.960000E-03
+4.390000E-03,-8.960000E-03
+4.400000E-03,-8.960000E-03
+4.410000E-03,-8.960000E-03
+4.420000E-03,-8.960000E-03
+4.430000E-03,-8.960000E-03
+4.440000E-03,-8.960000E-03
+4.450000E-03,-8.960000E-03
+4.460000E-03,-8.960000E-03
+4.470000E-03,-8.960000E-03
+4.480000E-03,-8.960000E-03
+4.490000E-03,-1.792000E-02
+4.500000E-03,-8.960000E-03
+4.510000E-03,-8.960000E-03
+4.520000E-03,-8.960000E-03
+4.530000E-03,-8.960000E-03
+4.540000E-03,-8.960000E-03
+4.550000E-03,-8.960000E-03
+4.560000E-03,+0.000000E+00
+4.570000E-03,+0.000000E+00
+4.580000E-03,-8.960000E-03
+4.590000E-03,+0.000000E+00
+4.600000E-03,+0.000000E+00
+4.610000E-03,+0.000000E+00
+4.620000E-03,+0.000000E+00
+4.630000E-03,+0.000000E+00
+4.640000E-03,+0.000000E+00
+4.650000E-03,+0.000000E+00
+4.660000E-03,+0.000000E+00
+4.670000E-03,+0.000000E+00
+4.680000E-03,+0.000000E+00
+4.690000E-03,-8.960000E-03
+4.700000E-03,+0.000000E+00
+4.710000E-03,+0.000000E+00
+4.720000E-03,+0.000000E+00
+4.730000E-03,-8.960000E-03
+4.740000E-03,+0.000000E+00
+4.750000E-03,-8.960000E-03
+4.760000E-03,-8.960000E-03
+4.770000E-03,-8.960000E-03
+4.780000E-03,-8.960000E-03
+4.790000E-03,-8.960000E-03
+4.800000E-03,-8.960000E-03
+4.810000E-03,-8.960000E-03
+4.820000E-03,-1.792000E-02
+4.830000E-03,-1.792000E-02
+4.840000E-03,-8.960000E-03
+4.850000E-03,-1.792000E-02
+4.860000E-03,-1.792000E-02
+4.870000E-03,-8.960000E-03
+4.880000E-03,-8.960000E-03
+4.890000E-03,-1.792000E-02
+4.900000E-03,-8.960000E-03
+4.910000E-03,-1.792000E-02
+4.920000E-03,-8.960000E-03
+4.930000E-03,-8.960000E-03
+4.940000E-03,-8.960000E-03
+4.950000E-03,-8.960000E-03
+4.960000E-03,-8.960000E-03
+4.970000E-03,-8.960000E-03
+4.980000E-03,-8.960000E-03
+4.990000E-03,-8.960000E-03
+5.000000E-03,-8.960000E-03
+5.010000E-03,-8.960000E-03
+5.020000E-03,-1.792000E-02
+5.030000E-03,-1.792000E-02
+5.040000E-03,-1.792000E-02
+5.050000E-03,-1.792000E-02
+5.060000E-03,-1.792000E-02
+5.070000E-03,-1.792000E-02
+5.080000E-03,-8.960000E-03
+5.090000E-03,-1.792000E-02
+5.100000E-03,-1.792000E-02
+5.110000E-03,-1.792000E-02
+5.120000E-03,-1.792000E-02
+5.130000E-03,-1.792000E-02
+5.140000E-03,-1.792000E-02
+5.150000E-03,-1.792000E-02
+5.160000E-03,-1.792000E-02
+5.170000E-03,-1.792000E-02
+5.180000E-03,-1.792000E-02
+5.190000E-03,-1.792000E-02
+5.200000E-03,-1.792000E-02
+5.210000E-03,-1.792000E-02
+5.220000E-03,-1.792000E-02
+5.230000E-03,-1.792000E-02
+5.240000E-03,-8.960000E-03
+5.250000E-03,-8.960000E-03
+5.260000E-03,-1.792000E-02
+5.270000E-03,-1.792000E-02
+5.280000E-03,-1.792000E-02
+5.290000E-03,-1.792000E-02
+5.300000E-03,-1.792000E-02
+5.310000E-03,-8.960000E-03
+5.320000E-03,-8.960000E-03
+5.330000E-03,-1.792000E-02
+5.340000E-03,-1.792000E-02
+5.350000E-03,-1.792000E-02
+5.360000E-03,-8.960000E-03
+5.370000E-03,-8.960000E-03
+5.380000E-03,-1.792000E-02
+5.390000E-03,-8.960000E-03
+5.400000E-03,-8.960000E-03
+5.410000E-03,-8.960000E-03
+5.420000E-03,-8.960000E-03
+5.430000E-03,-8.960000E-03
+5.440000E-03,+0.000000E+00
+5.450000E-03,+0.000000E+00
+5.460000E-03,+0.000000E+00
+5.470000E-03,+0.000000E+00
+5.480000E-03,+0.000000E+00
+5.490000E-03,+0.000000E+00
+5.500000E-03,+0.000000E+00
+5.510000E-03,+0.000000E+00
+5.520000E-03,-8.960000E-03
+5.530000E-03,+0.000000E+00
+5.540000E-03,+0.000000E+00
+5.550000E-03,+0.000000E+00
+5.560000E-03,+0.000000E+00
+5.570000E-03,+0.000000E+00
+5.580000E-03,+0.000000E+00
+5.590000E-03,+0.000000E+00
+5.600000E-03,+8.960000E-03
+5.610000E-03,+0.000000E+00
+5.620000E-03,+0.000000E+00
+5.630000E-03,+0.000000E+00
+5.640000E-03,+0.000000E+00
+5.650000E-03,+0.000000E+00
+5.660000E-03,+8.960000E-03
+5.670000E-03,+0.000000E+00
+5.680000E-03,+8.960000E-03
+5.690000E-03,+0.000000E+00
+5.700000E-03,+0.000000E+00
+5.710000E-03,+8.960000E-03
+5.720000E-03,+0.000000E+00
+5.730000E-03,+0.000000E+00
+5.740000E-03,+0.000000E+00
+5.750000E-03,+8.960000E-03
+5.760000E-03,+0.000000E+00
+5.770000E-03,+0.000000E+00
+5.780000E-03,+0.000000E+00
+5.790000E-03,+0.000000E+00
+5.800000E-03,+0.000000E+00
+5.810000E-03,+0.000000E+00
+5.820000E-03,+8.960000E-03
+5.830000E-03,+8.960000E-03
+5.840000E-03,+8.960000E-03
+5.850000E-03,+0.000000E+00
+5.860000E-03,+8.960000E-03
+5.870000E-03,+0.000000E+00
+5.880000E-03,+0.000000E+00
+5.890000E-03,+0.000000E+00
+5.900000E-03,+0.000000E+00
+5.910000E-03,+0.000000E+00
+5.920000E-03,+0.000000E+00
+5.930000E-03,+0.000000E+00
+5.940000E-03,+0.000000E+00
+5.950000E-03,-8.960000E-03
+5.960000E-03,+0.000000E+00
+5.970000E-03,+0.000000E+00
+5.980000E-03,+0.000000E+00
+5.990000E-03,+0.000000E+00
+6.000000E-03,+0.000000E+00
+6.010000E-03,+8.960000E-03
+6.020000E-03,-1.792000E-02
+6.030000E-03,+0.000000E+00
+6.040000E-03,+8.960000E-03
+6.050000E-03,+0.000000E+00
+6.060000E-03,+8.960000E-03
+6.070000E-03,+8.960000E-03
+6.080000E-03,+8.960000E-03
+6.090000E-03,+8.960000E-03
+6.100000E-03,+8.960000E-03
+6.110000E-03,+1.792000E-02
+6.120000E-03,+0.000000E+00
+6.130000E-03,+8.960000E-03
+6.140000E-03,+0.000000E+00
+6.150000E-03,+0.000000E+00
+6.160000E-03,+0.000000E+00
+6.170000E-03,+0.000000E+00
+6.180000E-03,+0.000000E+00
+6.190000E-03,+0.000000E+00
+6.200000E-03,-8.960000E-03
+6.210000E-03,+0.000000E+00
+6.220000E-03,+8.960000E-03
+6.230000E-03,+0.000000E+00
+6.240000E-03,+0.000000E+00
+6.250000E-03,+8.960000E-03
+6.260000E-03,+8.960000E-03
+6.270000E-03,+0.000000E+00
+6.280000E-03,+8.960000E-03
+6.290000E-03,+8.960000E-03
+6.300000E-03,+8.960000E-03
+6.310000E-03,+8.960000E-03
+6.320000E-03,+0.000000E+00
+6.330000E-03,+0.000000E+00
+6.340000E-03,+0.000000E+00
+6.350000E-03,+8.960000E-03
+6.360000E-03,+0.000000E+00
+6.370000E-03,+0.000000E+00
+6.380000E-03,+8.960000E-03
+6.390000E-03,+8.960000E-03
+6.400000E-03,+0.000000E+00
+6.410000E-03,+0.000000E+00
+6.420000E-03,+8.960000E-03
+6.430000E-03,+8.960000E-03
+6.440000E-03,+8.960000E-03
+6.450000E-03,+0.000000E+00
+6.460000E-03,+0.000000E+00
+6.470000E-03,+0.000000E+00
+6.480000E-03,+8.960000E-03
+6.490000E-03,+0.000000E+00
+6.500000E-03,+8.960000E-03
+6.510000E-03,+8.960000E-03
+6.520000E-03,+0.000000E+00
+6.530000E-03,+0.000000E+00
+6.540000E-03,+8.960000E-03
